"Story","Title","Result","Date","Stability","Duration (s)"
"Gg","Test case -Country List","SUCCESS","2017-07-03T22:27:56.734+05:30","0.0","23.2"
"G","Test case -Country List","SUCCESS","2017-07-04T22:07:42.476+05:30","0.0","17.71"
"A","Test case -Global Nav (Accelerator Global Nav)","SUCCESS","2017-07-04T22:07:05.348+05:30","0.0","35.93"
"Aa","Test case -Global Nav (Accelerator Global Nav)","SKIPPED","2017-07-03T22:28:24.181+05:30","0.0","0.0"
"Bb","Test case -Global Nav (Menu)","SKIPPED","2017-07-03T22:28:24.707+05:30","0.0","0.0"
"B","Test case -Global Nav (Menu)","SUCCESS","2017-07-04T22:10:36.891+05:30","0.0","57.75"
"Ff","Test case -Not Signed-In","SKIPPED","2017-07-03T22:28:24.385+05:30","0.0","0.0"
"F","Test case -Not Signed-In","SUCCESS","2017-07-04T22:09:33.088+05:30","0.0","62.77"
"D","Test case -Search Autosuggest","SUCCESS","2017-07-04T22:11:35.744+05:30","0.0","53.79"
"Dd","Test case -Search Autosuggest","SKIPPED","2017-07-03T22:28:25.152+05:30","0.0","0.0"
"C","Test case -Search Box","SUCCESS","2017-07-04T22:09:02.869+05:30","0.0","29.27"
"Cc","Test case -Search Box","SKIPPED","2017-07-03T22:28:24.016+05:30","0.0","0.0"
"E","Test case -Signed-In","SUCCESS","2017-07-04T22:08:01.236+05:30","0.0","60.61"
"Ee","Test case -Signed-In","SKIPPED","2017-07-03T22:28:22.137+05:30","0.0","0.01"
