"Story","Title","Result","Date","Stability","Duration (s)"
"Accelerator","Test case -Accelerator","SUCCESS","2017-08-08T17:59:43.479+05:30","0.0","21.53"
"Accelerator","Test case -Accelerator","SUCCESS","2017-08-08T18:07:07.563+05:30","0.0","26.69"
"Accelerator","Test case -Accelerator","SUCCESS","2017-08-08T18:31:06.284+05:30","0.0","36.32"
"Accelerator","Test case -Accelerator","SUCCESS","2017-08-08T19:14:17.462+05:30","0.0","159.09"
"Country list","Test case -Country List","SUCCESS","2017-08-08T18:00:07.293+05:30","0.0","6.65"
"Country list","Test case -Country List","SUCCESS","2017-08-08T18:07:34.582+05:30","0.0","14.79"
"Country list","Test case -Country List","SUCCESS","2017-08-08T18:31:44.038+05:30","0.0","14.54"
"Country list","Test case -Country List","SUCCESS","2017-08-08T19:16:56.682+05:30","0.0","25.01"
"Menu","Test case -Menu","SUCCESS","2017-08-08T18:00:16.150+05:30","0.0","15.12"
"Menu","Test case -Menu","SUCCESS","2017-08-08T18:07:49.449+05:30","0.0","22.43"
"Menu","Test case -Menu","SUCCESS","2017-08-08T18:31:59.268+05:30","0.0","23.23"
"Menu","Test case -Menu","SUCCESS","2017-08-08T19:17:21.761+05:30","0.0","22.7"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-08-08T18:00:33.525+05:30","0.0","93.28"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-08-08T18:08:11.933+05:30","0.0","138.5"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-08-08T18:32:23.232+05:30","0.0","107.15"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-08-08T19:17:44.509+05:30","0.0","158.73"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-08-08T18:02:09.035+05:30","0.0","46.61"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-08-08T18:10:30.492+05:30","0.0","62.12"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-08-08T18:34:11.467+05:30","0.0","59.11"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-08-08T19:20:23.297+05:30","0.0","71.96"
"Search box","Test case -Search Box","SUCCESS","2017-08-08T18:02:57.859+05:30","0.0","22.75"
"Search box","Test case -Search Box","SUCCESS","2017-08-08T18:11:32.664+05:30","0.0","43.44"
"Search box","Test case -Search Box","SUCCESS","2017-08-08T18:35:11.343+05:30","0.0","35.99"
"Search box","Test case -Search Box","SUCCESS","2017-08-08T19:21:35.311+05:30","0.0","39.32"
