"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-05-08T18:18:15.974+05:30","0.0","26.91"
"Country list","Show regions and its countries","SUCCESS","2018-05-08T18:29:58.499+05:30","0.0","34.52"
"Country list","Show regions and its countries","SUCCESS","2018-05-08T18:39:46.169+05:30","0.0","31.89"
"Accelerator","Test case -Accelerator","SUCCESS","2018-05-08T18:17:52.803+05:30","0.0","19.83"
"Accelerator","Test case -Accelerator","SUCCESS","2018-05-08T18:29:26.545+05:30","0.0","30.27"
"Accelerator","Test case -Accelerator","SUCCESS","2018-05-08T18:39:18.744+05:30","0.0","26.97"
"Menu","Test case -Menu","SUCCESS","2018-05-08T18:18:45.596+05:30","0.0","18.05"
"Menu","Test case -Menu","SUCCESS","2018-05-08T18:30:34.609+05:30","0.0","26.79"
"Menu","Test case -Menu","SUCCESS","2018-05-08T18:40:18.302+05:30","0.0","24.18"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-05-08T18:19:06.407+05:30","0.0","139.7"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-05-08T18:31:02.627+05:30","0.0","147.61"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-05-08T18:40:42.740+05:30","0.0","187.58"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-05-08T18:21:29.356+05:30","0.0","84.37"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-05-08T18:33:32.215+05:30","0.0","93.09"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-05-08T18:43:50.674+05:30","0.0","96.36"
"Search box","Test case -Search Box","SUCCESS","2018-05-08T18:22:57.754+05:30","0.0","32.07"
"Search box","Test case -Search Box","SUCCESS","2018-05-08T18:35:06.874+05:30","0.0","40.59"
"Search box","Test case -Search Box","SUCCESS","2018-05-08T18:45:27.218+05:30","0.0","38.52"
"Signed in","Test case -Signed-In","SUCCESS","2018-05-08T18:23:36.565+05:30","0.0","120.42"
"Signed in","Test case -Signed-In","SUCCESS","2018-05-08T18:35:49.047+05:30","0.0","157.77"
"Signed in","Test case -Signed-In","SUCCESS","2018-05-08T18:46:05.939+05:30","0.0","190.51"
