"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-07-20T11:36:43.048+05:30","0.0","55.07"
"Country list","Show regions and its countries","SUCCESS","2018-07-20T15:41:14.607+05:30","0.0","29.31"
"Country list","Show regions and its countries","SUCCESS","2018-07-20T15:51:14.670+05:30","0.0","35.92"
"Accelerator","Test case -Accelerator","SUCCESS","2018-07-20T11:35:53.532+05:30","0.0","47.83"
"Accelerator","Test case -Accelerator","SUCCESS","2018-07-20T15:40:39.876+05:30","0.0","27.97"
"Accelerator","Test case -Accelerator","SUCCESS","2018-07-20T15:50:41.770+05:30","0.0","32.44"
"Menu","Test case -Menu","SUCCESS","2018-07-20T11:37:39.189+05:30","0.0","39.84"
"Menu","Test case -Menu","SUCCESS","2018-07-20T15:41:50.609+05:30","0.0","20.26"
"Menu","Test case -Menu","SUCCESS","2018-07-20T15:51:50.958+05:30","0.0","26.55"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-07-20T11:38:20.476+05:30","0.0","191.96"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-07-20T15:42:21.411+05:30","0.0","141.84"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-07-20T15:52:17.837+05:30","0.0","213.51"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-07-20T11:41:34.352+05:30","0.0","168.65"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-07-20T15:44:49.576+05:30","0.0","127.85"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-07-20T15:55:51.723+05:30","0.0","144.76"
"Search box","Test case -Search Box","SUCCESS","2018-07-20T11:44:24.585+05:30","0.0","67.53"
"Search box","Test case -Search Box","SUCCESS","2018-07-20T15:47:03.949+05:30","0.0","37.21"
"Search box","Test case -Search Box","SUCCESS","2018-07-20T15:58:16.995+05:30","0.0","44.91"
"Signed in","Test case -Signed-In","SUCCESS","2018-07-20T11:45:33.691+05:30","0.0","211.05"
"Signed in","Test case -Signed-In","SUCCESS","2018-07-20T15:47:47.832+05:30","0.0","129.68"
"Signed in","Test case -Signed-In","SUCCESS","2018-07-20T15:59:02.210+05:30","0.0","195.82"
