"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2017-09-12T18:01:41.820+05:30","0.0","31.58"
"Country list","Show regions and its countries","SUCCESS","2017-09-12T20:14:06.855+05:30","0.0","32.0"
"Country list","Show regions and its countries","SUCCESS","2017-09-12T20:26:51.718+05:30","0.0","22.75"
"Accelerator","Test case -Accelerator","SUCCESS","2017-09-12T18:01:11.078+05:30","0.0","29.93"
"Accelerator","Test case -Accelerator","SUCCESS","2017-09-12T20:13:34.391+05:30","0.0","32.37"
"Accelerator","Test case -Accelerator","SUCCESS","2017-09-12T20:26:33.428+05:30","0.0","16.01"
"Menu","Test case -Menu","SUCCESS","2017-09-12T18:02:14.037+05:30","0.0","22.56"
"Menu","Test case -Menu","SUCCESS","2017-09-12T20:14:38.901+05:30","0.0","23.99"
"Menu","Test case -Menu","SUCCESS","2017-09-12T20:27:16.674+05:30","0.0","14.92"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-09-12T18:02:37.265+05:30","0.0","106.9"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-09-12T20:15:02.943+05:30","0.0","260.19"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-09-12T20:27:33.822+05:30","0.0","93.16"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-09-12T18:04:25.116+05:30","0.0","79.95"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-09-12T20:19:23.188+05:30","0.0","99.44"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-09-12T20:29:09.237+05:30","0.0","57.4"
"Search box","Test case -Search Box","SUCCESS","2017-09-12T18:05:45.730+05:30","0.0","33.35"
"Search box","Test case -Search Box","SUCCESS","2017-09-12T20:21:02.678+05:30","0.0","41.34"
"Search box","Test case -Search Box","SUCCESS","2017-09-12T20:30:08.827+05:30","0.0","23.99"
"Signed in","Test case -Signed-In","SUCCESS","2017-09-12T18:06:19.718+05:30","0.0","139.13"
"Signed in","Test case -Signed-In","SUCCESS","2017-09-12T20:21:44.060+05:30","0.0","259.61"
"Signed in","Test case -Signed-In","SUCCESS","2017-09-12T20:30:35.029+05:30","0.0","102.38"
