"Story","Title","Result","Date","Stability","Duration (s)"
"Accelerator","Test case -Accelerator","SUCCESS","2017-07-16T20:17:37.246+05:30","0.0","30.95"
"G","Test case -Country List","ERROR","2017-07-15T00:11:03.734+05:30","0.0","6.01"
"Country List","Test case -Country List","SUCCESS","2017-07-16T20:15:43.882+05:30","0.0","27.72"
"A","Test case -Global Nav (Accelerator)","ERROR","2017-07-15T00:10:45.690+05:30","0.0","16.54"
"B","Test case -Global Nav (Menu)","ERROR","2017-07-15T00:11:42.357+05:30","0.0","12.26"
"Menu","Test case -Menu","SUCCESS","2017-07-16T20:18:09.162+05:30","0.0","30.41"
"Not Signed In","Test case -Not Signed-In","FAILURE","2017-07-16T20:16:12.622+05:30","0.0","25.7"
"F","Test case -Not Signed-In","ERROR","2017-07-15T00:11:32.489+05:30","0.0","8.85"
"D","Test case -Search Autosuggest","ERROR","2017-07-15T00:11:55.607+05:30","0.0","10.47"
"Search Autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-07-16T20:16:39.522+05:30","0.0","56.76"
"C","Test case -Search Box","ERROR","2017-07-15T00:11:19.868+05:30","0.0","11.63"
"Search Box","Test case -Search Box","SUCCESS","2017-07-16T20:15:02.203+05:30","0.0","40.34"
"E","Test case -Signed-In","ERROR","2017-07-15T00:11:10.855+05:30","0.0","7.97"
"Signed In","Test case -Signed-In","FAILURE","2017-07-16T20:18:40.584+05:30","0.0","175.09"
