"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-02-06T16:01:44.814+05:30","0.0","31.81"
"Country list","Show regions and its countries","SUCCESS","2018-02-06T16:12:26.020+05:30","0.0","31.22"
"Country list","Show regions and its countries","SUCCESS","2018-02-06T16:22:43.232+05:30","0.0","23.06"
"Accelerator","Test case -Accelerator","SUCCESS","2018-02-06T16:01:15.278+05:30","0.0","28.48"
"Accelerator","Test case -Accelerator","SUCCESS","2018-02-06T16:12:01.540+05:30","0.0","24.13"
"Accelerator","Test case -Accelerator","SUCCESS","2018-02-06T16:22:20.076+05:30","0.0","20.81"
"Menu","Test case -Menu","SUCCESS","2018-02-06T16:02:17.386+05:30","0.0","23.24"
"Menu","Test case -Menu","SUCCESS","2018-02-06T16:12:57.337+05:30","0.0","25.14"
"Menu","Test case -Menu","SUCCESS","2018-02-06T16:23:08.581+05:30","0.0","17.83"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-02-06T16:02:41.526+05:30","0.0","143.65"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-02-06T16:13:22.712+05:30","0.0","178.35"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-02-06T16:23:28.719+05:30","0.0","133.2"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-02-06T16:05:06.739+05:30","0.0","88.9"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-02-06T16:16:21.365+05:30","0.0","91.65"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-02-06T16:25:44.723+05:30","0.0","78.26"
"Search box","Test case -Search Box","SUCCESS","2018-02-06T16:06:36.654+05:30","0.0","37.23"
"Search box","Test case -Search Box","SUCCESS","2018-02-06T16:17:53.295+05:30","0.0","35.27"
"Search box","Test case -Search Box","SUCCESS","2018-02-06T16:27:05.209+05:30","0.0","26.83"
"Signed in","Test case -Signed-In","SUCCESS","2018-02-06T16:07:14.671+05:30","0.0","160.07"
"Signed in","Test case -Signed-In","SUCCESS","2018-02-06T16:18:28.809+05:30","0.0","199.48"
"Signed in","Test case -Signed-In","SUCCESS","2018-02-06T16:27:34.285+05:30","0.0","124.37"
