"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-08-06T20:06:25.454+05:30","0.0","34.81"
"Country list","Show regions and its countries","SUCCESS","2018-08-06T20:17:59.416+05:30","0.0","32.95"
"Country list","Show regions and its countries","SUCCESS","2018-08-07T23:14:48.305+05:30","0.0","53.63"
"Accelerator","Test case -Accelerator","SUCCESS","2018-08-06T20:05:53.036+05:30","0.0","31.29"
"Accelerator","Test case -Accelerator","SUCCESS","2018-08-06T20:17:29.996+05:30","0.0","29.01"
"Accelerator","Test case -Accelerator","SUCCESS","2018-08-07T23:13:54.514+05:30","0.0","36.08"
"Menu","Test case -Menu","SUCCESS","2018-08-06T20:07:01.078+05:30","0.0","26.27"
"Menu","Test case -Menu","SUCCESS","2018-08-06T20:18:32.457+05:30","0.0","25.86"
"Menu","Test case -Menu","SUCCESS","2018-08-07T23:15:50.936+05:30","0.0","35.51"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-08-06T20:07:28.072+05:30","0.0","147.4"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-08-06T20:18:58.555+05:30","0.0","205.46"
"Not signed in","Test case -Not Signed-In","FAILURE","2018-08-07T23:16:35.524+05:30","0.0","127.59"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-08-06T20:09:57.050+05:30","0.0","137.87"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-08-06T20:22:24.113+05:30","0.0","144.13"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-08-07T23:18:51.542+05:30","0.0","140.19"
"Search box","Test case -Search Box","SUCCESS","2018-08-06T20:12:15.756+05:30","0.0","48.71"
"Search box","Test case -Search Box","SUCCESS","2018-08-06T20:24:48.540+05:30","0.0","49.47"
"Search box","Test case -Search Box","SUCCESS","2018-08-07T23:21:19.838+05:30","0.0","46.42"
"Signed in","Test case -Signed-In","FAILURE","2018-08-06T20:13:05.315+05:30","0.0","79.24"
"Signed in","Test case -Signed-In","FAILURE","2018-08-06T20:25:38.420+05:30","0.0","101.76"
"Signed in","Test case -Signed-In","FAILURE","2018-08-07T23:22:14.084+05:30","0.0","109.57"
