"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","ERROR","2019-02-15T19:46:06.028+05:30","0.0","3.84"
"Accelerator","Test case -Accelerator","ERROR","2019-02-15T19:45:58.606+05:30","0.0","6.7"
"Menu","Test case -Menu","ERROR","2019-02-15T19:46:10.122+05:30","0.0","3.78"
"Not signed in","Test case -Not Signed-In","FAILURE","2018-08-07T23:16:35.524+05:30","0.0","127.59"
"Not signed in","Test case -Not Signed-In","ERROR","2019-02-15T19:46:14.230+05:30","0.0","3.76"
"Search autosuggestion","Test case -Search Autosuggestion","ERROR","2019-02-15T19:46:18.305+05:30","0.0","3.82"
"Search box","Test case -Search Box","ERROR","2019-02-15T19:46:22.401+05:30","0.0","3.89"
"Signed in","Test case -Signed-In","FAILURE","2018-08-06T20:13:05.315+05:30","0.0","79.24"
"Signed in","Test case -Signed-In","FAILURE","2018-08-06T20:25:38.420+05:30","0.0","101.76"
"Signed in","Test case -Signed-In","FAILURE","2018-08-07T23:22:14.084+05:30","0.0","109.57"
"Signed in","Test case -Signed-In","ERROR","2019-02-15T19:46:26.638+05:30","0.0","3.89"
