"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2017-10-17T15:39:46.824+05:30","0.0","25.78"
"Country list","Show regions and its countries","SUCCESS","2017-10-17T16:06:16.850+05:30","0.0","50.29"
"Country list","Show regions and its countries","SUCCESS","2017-10-17T16:27:10.262+05:30","0.0","32.97"
"Accelerator","Test case -Accelerator","SUCCESS","2017-10-17T15:39:22.950+05:30","0.0","21.28"
"Accelerator","Test case -Accelerator","SUCCESS","2017-10-17T16:05:26.399+05:30","0.0","49.57"
"Accelerator","Test case -Accelerator","SUCCESS","2017-10-17T16:26:38.612+05:30","0.0","31.52"
"Menu","Test case -Menu","SUCCESS","2017-10-17T15:40:14.992+05:30","0.0","18.38"
"Menu","Test case -Menu","SUCCESS","2017-10-17T16:07:08.067+05:30","0.0","43.92"
"Menu","Test case -Menu","SUCCESS","2017-10-17T16:27:43.295+05:30","0.0","25.21"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-10-17T15:40:35.726+05:30","0.0","127.98"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-10-17T16:07:52.880+05:30","0.0","189.85"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-10-17T16:28:08.564+05:30","0.0","165.42"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-10-17T15:42:46.095+05:30","0.0","82.81"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-10-17T16:11:03.755+05:30","0.0","140.64"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-10-17T16:30:54.039+05:30","0.0","114.21"
"Search box","Test case -Search Box","SUCCESS","2017-10-17T15:44:11.269+05:30","0.0","31.23"
"Search box","Test case -Search Box","SUCCESS","2017-10-17T16:13:25.227+05:30","0.0","59.67"
"Search box","Test case -Search Box","SUCCESS","2017-10-17T16:32:48.634+05:30","0.0","47.32"
"Signed in","Test case -Signed-In","SUCCESS","2017-10-17T15:44:46.057+05:30","0.0","113.8"
"Signed in","Test case -Signed-In","SUCCESS","2017-10-17T16:14:25.625+05:30","0.0","181.82"
"Signed in","Test case -Signed-In","SUCCESS","2017-10-17T16:33:36.014+05:30","0.0","152.68"
