"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-04-19T18:14:33.031+05:30","0.0","26.45"
"Country list","Show regions and its countries","SUCCESS","2018-04-19T19:23:43.600+05:30","0.0","34.43"
"Country list","Show regions and its countries","SUCCESS","2018-04-19T20:50:12.141+05:30","0.0","36.02"
"Accelerator","Test case -Accelerator","SUCCESS","2018-04-19T18:14:08.730+05:30","0.0","20.93"
"Accelerator","Test case -Accelerator","SUCCESS","2018-04-19T19:23:08.040+05:30","0.0","33.92"
"Accelerator","Test case -Accelerator","SUCCESS","2018-04-19T20:49:37.491+05:30","0.0","34.27"
"Menu","Test case -Menu","SUCCESS","2018-04-19T18:15:02.442+05:30","0.0","19.13"
"Menu","Test case -Menu","SUCCESS","2018-04-19T19:24:19.414+05:30","0.0","28.23"
"Menu","Test case -Menu","SUCCESS","2018-04-19T20:50:48.491+05:30","0.0","27.52"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-04-19T18:15:24.336+05:30","0.0","135.48"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-04-19T19:24:48.908+05:30","0.0","158.03"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-04-19T20:51:16.282+05:30","0.0","229.88"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-04-19T18:17:43.038+05:30","0.0","82.11"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-04-19T19:27:29.037+05:30","0.0","94.92"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-04-19T20:55:06.435+05:30","0.0","121.9"
"Search box","Test case -Search Box","SUCCESS","2018-04-19T18:19:09.194+05:30","0.0","32.27"
"Search box","Test case -Search Box","SUCCESS","2018-04-19T19:29:05.258+05:30","0.0","41.73"
"Search box","Test case -Search Box","SUCCESS","2018-04-19T20:57:08.594+05:30","0.0","184.14"
"Signed in","Test case -Signed-In","SUCCESS","2018-04-19T17:49:11.696+05:30","0.0","35.95"
"Signed in","Test case -Signed-In","SUCCESS","2018-04-19T18:19:44.855+05:30","0.0","132.14"
"Signed in","Test case -Signed-In","SUCCESS","2018-04-19T19:29:48.258+05:30","0.0","176.06"
"Signed in","Test case -Signed-In","SUCCESS","2018-04-19T21:00:12.984+05:30","0.0","214.33"
